Geo_Type_Name,Start_Date,Data_Value
UHF34,12/01/2009,10.3
UHF34,06/01/2020,6.98
UHF34,12/01/2013,9.04
UHF34,12/01/2016,8.11
UHF34,12/01/2009,11.4
UHF34,12/01/2016,8.09
UHF34,12/01/2009,10.14
UHF42,06/01/2009,10.77
CD,12/01/2016,8.98
CD,06/01/2018,9.41
CD,12/01/2016,9.36
CD,06/01/2018,10.11
CD,12/01/2011,11.18
CD,12/01/2009,11.47
CD,06/01/2018,10.01
CD,12/01/2011,8.39
CD,12/01/2013,8.61
UHF42,12/01/2010,23.56
UHF42,06/01/2014,15.06
UHF42,06/01/2014,11.12
UHF42,12/01/2018,18.66
UHF42,12/01/2008,22.93
UHF42,12/01/2010,22.21
UHF42,12/01/2018,20.41
UHF34,12/01/2010,33.16
CD,12/01/2011,25.6
CD,12/01/2013,21.57
CD,06/01/2018,14.92
CD,06/01/2020,13.96
CD,12/01/2016,28.05
CD,12/01/2013,25.72
CD,06/01/2020,14.09
UHF42,12/01/2012,19.65
UHF42,06/01/2009,18.49
UHF42,12/01/2012,36.08
UHF42,12/01/2010,42.24
UHF42,12/01/2014,33.9
UHF42,01/01/2017,30.31
UHF42,01/01/2021,21.3
CD,12/01/2012,20.69
CD,06/01/2009,15.52
UHF34,06/01/2018,9.85
UHF34,06/01/2017,10.79
UHF34,06/01/2020,7.95
UHF34,06/01/2017,10.12
UHF34,12/01/2011,9.57
UHF34,06/01/2018,8.89
UHF34,12/01/2016,7.91
UHF34,12/01/2011,8.94
UHF34,12/01/2016,8.14
UHF34,06/01/2018,8.33
UHF42,12/01/2010,12.41
UHF42,01/01/2021,6.98
CD,12/01/2009,11.65
CD,12/01/2011,10.72
CD,06/01/2018,8.84
CD,12/01/2013,9.99
CD,12/01/2016,8.66
CD,06/01/2017,10.22
CD,12/01/2011,10.32
CD,12/01/2013,10.31
CD,12/01/2016,8.55
CD,06/01/2020,7.93
CD,12/01/2009,9.89
CD,06/01/2018,8.53
CD,06/01/2009,11.02
CD,12/01/2010,14.29
CD,12/01/2012,9.9
UHF42,06/01/2020,7.52
Borough,06/01/2020,7.24
Borough,12/01/2016,8.3
Borough,12/01/2009,9.97
Borough,06/01/2020,6.94
UHF42,12/01/2009,10.26
UHF42,12/01/2013,8.97
UHF42,12/01/2016,7.61
UHF42,06/01/2018,11.64
UHF42,06/01/2017,10.66
CD,12/01/2009,10.34
CD,12/01/2011,9.33
CD,06/01/2020,6.81
CD,12/01/2009,9.41
UHF42,01/01/2015,21.14
UHF42,12/01/2018,22.24
UHF42,01/01/2020,14.15
UHF42,01/01/2015,21.39
CD,06/01/2020,16.39
CD,12/01/2016,28.69
CD,06/01/2018,16.91
CD,12/01/2013,20.6
CD,06/01/2017,16.22
CD,12/01/2011,22.8
CD,06/01/2017,13.52
CD,12/01/2016,23.91
CD,12/01/2011,21.43
CD,12/01/2009,22.79
CD,12/01/2013,18.34
CD,06/01/2017,12.78
CD,12/01/2013,18.89
CD,12/01/2016,24.97
CD,06/01/2009,17.24
CD,12/01/2010,26.39
CD,12/01/2012,17.44
CD,01/01/2017,17.42
CD,12/01/2012,19.07
UHF34,06/01/2017,8.52
UHF34,06/01/2018,7.83
UHF34,12/01/2016,8.62
UHF34,06/01/2017,9.87
UHF34,06/01/2018,9.31
UHF42,06/01/2009,12.17
UHF42,01/01/2017,8.98
UHF42,01/01/2021,7.67
CD,12/01/2014,11.07
CD,01/01/2017,8.87
CD,12/01/2014,10.18
CD,06/01/2017,10.42
CD,12/01/2013,9.46
CD,12/01/2016,8.17
CD,06/01/2017,9.85
CD,06/01/2020,7.35
CD,12/01/2011,9
CD,12/01/2016,7.53
CD,06/01/2018,7.89
CD,06/01/2020,6.79
CD,12/01/2011,9.12
CD,12/01/2013,8.92
CD,12/01/2009,9.77
CD,06/01/2020,7.08
CD,06/01/2018,8.26
CD,12/01/2011,8.91
CD,12/01/2016,8.04
CD,06/01/2020,7.18
CD,06/01/2017,8.29
CD,06/01/2018,7.88
CD,12/01/2013,8.45
CD,06/01/2017,8.62
CD,01/01/2017,7.77
CD,12/01/2010,12.46
CD,01/01/2021,6.45
CD,12/01/2010,13.1
UHF42,06/01/2020,7.95
UHF42,12/01/2009,11.5
UHF42,12/01/2016,7.91
UHF42,12/01/2014,29.21
UHF42,12/01/2009,29.06
UHF42,12/01/2013,23.76
UHF42,06/01/2018,16.41
CD,12/01/2013,20.88
CD,12/01/2009,24.96
CD,01/01/2021,14.7
CD,12/01/2010,28.88
CD,06/01/2009,18.96
CD,12/01/2014,23.58
UHF42,01/01/2017,7.53
UHF42,12/01/2010,13.49
UHF42,01/01/2017,8.09
CD,06/01/2017,11.02
CD,12/01/2016,9.5
CD,06/01/2018,10.77
CD,06/01/2020,7.37
CD,12/01/2016,8.54
CD,12/01/2013,8.95
CD,06/01/2017,8.81
CD,12/01/2016,8.02
CD,12/01/2009,9.65
CD,12/01/2014,11.52
CD,01/01/2017,9.36
CD,01/01/2021,6.8
CD,01/01/2017,8.38
CD,01/01/2021,7.06
CD,12/01/2014,9.15
CD,01/01/2021,6.72
UHF42,06/01/2017,9.14
UHF42,06/01/2020,6.98
UHF42,12/01/2009,10.61
UHF42,12/01/2013,9.63
UHF42,06/01/2017,9.75
UHF42,12/01/2016,8.3
UHF42,12/01/2013,9.82
UHF42,06/01/2020,7.44
UHF42,06/01/2018,10.03
CD,12/01/2011,9.01
CD,12/01/2013,8.44
CD,06/01/2017,8.59
CD,12/01/2016,7.83
CD,06/01/2018,8.08
CD,06/01/2020,6.7
CD,12/01/2011,9.23
CD,12/01/2009,10.13
CD,06/01/2018,8.36
CD,06/01/2020,6.82
CD,01/01/2021,17.46
CD,12/01/2011,22.7
CD,06/01/2018,12.23
CD,06/01/2009,27.58
CD,06/01/2017,29.95
CD,06/01/2018,30.69
CD,06/01/2009,10.1
CD,01/01/2017,7.05
CD,01/01/2021,6.29
CD,06/01/2009,20.72
CD,06/01/2018,24.92
CD,12/31/2015,28.4
CD,01/01/2018,26.65
CD,06/01/2013,18.06
CD,06/01/2020,15.06
CD,12/01/2016,27.28
CD,06/01/2020,13.98
CD,12/01/2009,20.98
Borough,12/01/2008,16.84
UHF42,12/01/2010,33.65
UHF42,12/01/2012,26.5
UHF42,01/01/2021,19.17
UHF42,12/01/2012,11.51
UHF42,12/01/2011,28.9
CD,12/01/2011,15.76
CD,12/01/2012,12.54
CD,12/01/2010,20.26
CD,06/01/2009,8.44
UHF34,06/01/2018,8.05
UHF34,12/01/2013,9.63
UHF34,06/01/2017,9.75
UHF42,12/01/2012,8.69
UHF42,01/01/2017,7.52
CD,12/01/2014,10.56
CD,01/01/2017,8.33
CD,12/01/2011,10.39
CD,12/01/2013,8.88
CD,12/01/2016,7.64
CD,06/01/2017,8.76
CD,12/01/2009,7.94
CD,12/01/2011,6.72
CD,06/01/2020,6.27
CD,06/01/2018,8.38
CD,12/01/2010,14.3
CD,12/01/2012,9.4
CD,01/01/2017,7.25
CD,12/01/2011,8.28
CD,12/01/2013,8.46
CD,12/01/2011,9.54
CD,06/01/2017,9.27
CD,06/01/2020,7.31
CD,12/01/2016,6.87
CD,12/01/2012,16.67
CD,12/01/2010,32.68
CD,12/01/2012,22.84
CD,06/01/2009,23.83
CD,12/01/2013,20.52
CD,06/01/2020,10.82
